[4869131253,eau de V,123.27145774010823]
[605742384,Wadym Bojarski,76.7568691665616]
[215317931,kspete,66.63334235291316]
[253550874,Toni RADJALI,53.769085875866935]
[3065977223,Vrije Vakantiehuizen,36.54678901337189]
[1002862510863577088,ً,36.44921421855114]
[840420259647672321,keydraah🌹,34.97637350110069]
[2338557156,Jackson Jamie Russell,28.846722735753715]
[629978667,mariella,25.548198017123326]
[974660312,Pauline Burroughs,24.65606829999425]
[52271697,Sᴛᴇᴘʜᴇɴ I.,22.47110328171576]
[426489444,Tiziana,21.59672149967667]
[286045500,Alexander Roessen,19.907699923367957]
[1111966692249403394,Lana Krušić,19.258230279678823]
[768844357977960448,abc,18.3476211535824]
[901532501595770880,paper cuts ✂️,18.118380090151042]
[62625508,Juan Antonio Breña 🇪🇺,17.940449339177384]
[1056274207867322368,Illés Éva,17.50995087304204]
[381090323,KIRA✨🌸 👑,17.408914387404693]
[807219725801439232,` ica,16.418725015980556]
[95476619,Kristi Trimmer,16.018537845889416]
[835523998607888384,MUMMYTOSIX,14.892411508994858]
[2302769615,chlo,14.708197720939483]
[809058796110827520,❥ | Eclipse (Destiny) 💋,14.033098304256884]
[4152113075,Riverside Car & Limo,13.805705250336068]
[102134228,Debz7172,13.044453090558475]
[3190996469,martin arafat,13.015966682686981]
[1014837002355789824,jack,12.516097172688632]
[928911884,Chef Boi R      E,12.31795384735614]
[1066708832641056769,☁️Taylor☁️,12.292929374478552]
[975725122110787584,Tribune Drive P.S.,11.69671440611936]
[793142527,Ram Prakash Maurya,11.63199855199656]
[893125137289105408,Yago Wachter Reder,11.20587682498748]
[2374745089,redacted tonight,11.139730526976168]
[734822891175464960,Hannibal Italia,11.107700982691632]
[1281495697,jam,10.963178592433975]
[801425576,Brody Aufderheide,10.637410383116107]
[2806529062,Klaus' bitch ☂︎,10.51480154530982]
[816376991876190208,юля фэй.,10.182801789917768]
[881608091049103360,Mayado,9.910612892038609]
[268367991,🏁,9.768034664830852]
[188278194,Catbriar,9.536368484902376]
[1114785505235759105,Vishal Jaiswar,9.526527739981852]
[103660597,Carol,9.389599168081457]
[932424877449019392,SWEET MOMENT,9.055383141074355]
[267329741,Stephanie Nicole,9.040314866112269]
[20510117,Azrakhsh,8.854097240075143]
[845651595824168960,Britney R.,8.718301859189893]
[914824408610590722,Trevor parsons,8.661218263463102]
[3327466143,Kyle Kiel,8.42009056583465]
[12124462,Ali King 🏳️‍🌈,8.345975258021818]
[1114914892384014336,_iamjasmin3,8.269631804066506]
[991062433891536897,Bea💜,8.269596124813427]
[2937301579,tae$.,8.14371222174347]
[316703966,Keke W.,7.885906775114768]
[401909830,Ghilli Antichità,7.762390010543218]
[1041214380405338113,Chibuzo,7.748131788177354]
[1869982172,ian meadows,7.645226363994783]
[2215009476,Jose Estrada,7.474698720052223]
[3292921487,yve s🐈,7.419979288368758]
[948533376595714048,Monyy,7.3180805025798765]
[1467058406,ًَ,7.235613728448202]
[1092164622570930179,an idiot whore,7.208818234440002]
[1641312048,anya ♍︎,7.010914115709119]
[2830877802,cedric,6.926662594491952]
[271593960,Jared Stevens,6.823811135683376]
[1100935674180513792,Fira Fela,6.791553837987431]
[875268887327023104,kuciiiiiiiiiiing,6.734151283318465]
[1961581470,Will,6.659064602927376]
[169274720,(((Sivyaleah))),6.647245015226501]
[2941028756,Qaisar Mumtaz,6.5772476681819185]
[1006614008768663553,Connecticut Elite Basketball Program,6.480507983990035]
[2557325857,bo karlsen (brøndby 💛💙🏆,6.402813849762359]
[2460308757,Jeremy Dubard,6.322627201695879]
[46639547,Pumpkin Escobar,6.264046325174222]
[694866385328017409,Cammodel 18+,6.172719186489329]
[213180973,Lou,6.067771962164419]
[2828998475,Laurie Singh,6.030516659602744]
[2964606814,#StormHour,5.982212478066662]
[1022063917088923648,Gซอยแบด | link on bio,5.904507498675927]
[411844610,Sarah Hambly,5.895269271106549]
[24030143,robin [☆birthday countdown: 9 days remain☆],5.7813039629718475]
[35906119,Johnny Fusilier,5.7662871101762505]
[3074570020,RCCG-TGSP,5.742827853497187]
[73717605,Xander Taylor,5.726680408310363]
[571229605,Cee 💋✨,5.643472670970203]
[478134225,July 12 ♋,5.5262245554194465]
[30695159,sulema F Honn,5.4932227220127015]
[55085243,マイ📚 @ バンドやろうぜ！,5.429172899320023]
[966495337727737856,Erik Kjol,5.41398379646176]
[3396259006,K👑,5.306588859844852]
[16487616,☀hitman30🎮,5.279531131966723]
[64367632,Abdul Razaq Narwal,5.211594342663374]
[352209073,hollie,5.207840025240067]
[966169979593748480,C,5.203724798197713]
[9229732,FOX 9,5.105286103823412]
[4378762704,Janet Hong,5.095265008665039]
[1024757518986137600,Adam Torske,5.08345648658138]
[168912732,Eric Fisher,5.011265648685372]
[3191555444,PaGE at Cal State LA,5.0106426516416915]
[839263590976786432,uhhhhmeg 🏳️‍🌈,5.005246845018413]
[2409414559,Susan Borts,4.919641257821378]
[226792904,CHIEF KEEF - WAR,4.902287830196312]
[302764570,Elizabeth,4.834401017481509]
